log_id,log_text,ground_truth_regex
1,2025-03-07T11:37:22.109Z server52 DatabaseConnector [INFO]: Operation started for user 520,(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?P<host>s.*)\s+(?P<app>\S+)\s+\[(?P<severity>.*)\]\:\s+(?P<message>.*)
2,"02 21 2025 12:33:42 197.158.9.211 <SAU1:ALRT> 1 2023-08-30T16:33:46.846392+08:00 IL-LAB-RDF01 IL-LAB-RDF01 - - - LEEF:2.0|radiflow|isid|6.5.11.14|71|OS-WINDOWS DCERPC NCACN-IP-TCP srvsvc NetrPathCanonicalize overflow attempt|High|cat='Cyber' id=20 src=192.168.120.250 dst=192.168.120.234 pt=445 PtName=SMB SrcName=192.168.120.250 DstName=192.168.10.24 SrcMac=00:0C:19:FF:61:3F DstMac=00:21:31:10:33:CD SrcVendor=VMware, Inc. DstVendor=Hewlett Packard SrcType=Server DstType=Server",(?P<timestamp>\d{2} \d{2} \d{4} \d{2}:\d{2}:\d{2}) (?P<source_ip>\d+\.\d+\.\d+\.\d+) <(?P<alert_id>.*)> 1 (?P<event_time>.*)\s+(?P<hostname>\S+)\s+-\s+-\s+-\s+LEEF:2\.0\|(?P<product>.*)\|(?P<product_version>.*)\|(?P<module>.*)\|(?P<rule_id>\d+)\|(?P<title>.*)\|(?P<severity>.*)\|cat='(?P<category>.*)' id=(?P<alert_id_number>\d+) src=(?P<source_ip_2>\d+\.\d+\.\d+\.\d+) dst=(?P<destination_ip>\d+\.\d+\.\d+\.\d+) pt=(?P<port>\d+)\s+PtName=(?P<protocol_name>.*)\s+SrcName=(?P<source_ip_3>\d+\.\d+\.\d+\.\d+)\s+DstName=(?P<destination_ip_2>\S+)\s+SrcMac=(?P<source_mac_address>[\d:]+)\s+DstMac=(?P<destination_mac_address>[\d:]+)\s+SrcVendor=(?P<source_vendor>.*)\s+DstVendor=(?P<destination_vendor>.*)\s+SrcType=(?P<source_type>\S+)\s+DstType=(?P<destination_type>\S+)$
3,"17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",(?<timestamp>\d{2}\/\d{2}\/\d{2}\s+\d{2}:\d{2}:\d{2})\s+(?<log_level>\S+)\s+(?<hostname>\S+):\s+(?P<component>\S+):\s+(?P<message>.*)
4,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl: task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED","(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>.*?)\s+\[(?<thread>.*?)\]\s+(?<class>org\.apache\.hadoop\.mapreduce\.v2\.app\.job\.impl\.TaskImpl):\s+(?<task_id>task_\d+_\d+_\w+_\d+)\s+(?<message>.*)"
5,[10.30 17:10:37] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<message>.*)\s+(?P<protocol_type>[A-Z]+)
6,17/06/09 20:10:41 INFO util.Utils: Successfully started service 'sparkExecutorActorSystem' on port 55904.,(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<loglevel>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
7,- 1117989508 2005.06.05 R36-M0-NA-C:J17-U01 2005-06-05-09.38.28.957918 R36-M0-NA-C:J17-U01 RAS KERNEL INFO generating core.1172,-\s+(?P<timestamp>\d{10})\s+(?P<date>\d{4}\.\d{2}\.\d{2})\s+(?P<hostname>.*?)\s+(?P<logtime>\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2}\.\d{6})\s+.*?\s+(?P<logtype>[A-Z]+)\s+(?P<subsystem>[A-Z]+)\s+(?P<severity>[A-Z]+)\s+(?P<message>.*)
8,Dec 10 07:07:38 LabSZ sshd[24206]: pam_unix(sshd:auth): check pass; user unknown,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
9,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-03-12T07:17:35.258212200Z'/><EventRecordID>8361459</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level><Task>(?P<task>\d+)<\/Task><Opcode>(?P<opcode>\d+)<\/Opcode><Keywords>(?P<keywords>[\d\w]+)<\/Keywords><TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID><Correlation( ActivityID='{(?P<correlation_id>[\w\d\-]+)}')?\/>.*?<Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
10,"<11>Feb  1 01:46:34 PA-VM 1,2025/02/01 01:46:34,,SYSTEM,syslog,2816,2025/02/01 01:46:34,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7409859196046341764,0x0,0,0,0,0,,PA-VM,0,0,2025-02-01T01:46:34.896+08:00","<(?P<priority>\d+)>(?P<timestamp>\w{3}\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-.]+)\s+\d+,(?P<event_time>[\d\/:\s]+),(?P<serial>\d+)?,(?P<log_type>\w+),(?P<subtype>\w*),\d+,(?P<generated_time>[\d\/:\s]*),,(?P<event_name>[\w\-.]+)?,(?P<event_details>[^,]*),\d+,\d+,(?P<category>\w*),(?P<severity>\w*),\""(?P<message>[^\""]+)\"",(?P<session_id>\d+),(?P<flags>[\d\w,A]+),[\d,]+\s*(?P<device_name>[\w\-.]+),\d+,\d+,(?P<iso_timestamp>[\d\-\:T\.]+)(?<timezone>\+\d+:\d+)"
11,Mar  7 02:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Sockets.,^(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
12,2024-05-09 16:24:24.687    +08:00    Citect (32 bit) (IOServer [Cluster1.IOServer]) (PID 5224) Startup 8.20,^(?P<timestamp>\S+\s+\S+)\s+(?P<timezone>\S+)\s+(?P<message>.*)
13,"2.142.156.198 - - [Mar 13 2025, 23:10:16] ""GET /search HTTP/1.1"" 400 8359 ""https://www.bing.com"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - - \[(?P<timestamp>[A-Za-z]{3} \d{2} \d{4}, \d{2}:\d{2}:\d{2})\] ""(?P<method>\w+) (?P<path>[^""]+) (?P<protocol>[^""]+)"" (?P<status>\d{3}) (?P<size>\d+) ""(?P<referrer>[^""]*)"" ""(?P<user_agent>[^""]*)"""
14,17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<loglevel>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
15,Dec 10 07:07:38 LabSZ sshd[24206]: input_userauth_request: invalid user test9 [preauth],"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
16,Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\w+)?(\((?P<service>[^)]+)\))?(\[(?P<pid>\d+)\])?:\s+(?P<message>.*)"
17,20171223-22:15:29:606|Step_LSC|30002312|onStandStepChanged 3579,(?P<date>\d{8})-(?P<time>\d{2}:\d{2}:\d{2}:\d+)\|(?P<module>[^|]+)\|(?P<code>\d+)\|\s*(?P<message>.*)
18,Feb 19 07:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Default.,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
19,"<12>Feb 28 00:06:30 CYberlab-ENT-PA-440 1,2025/02/28 00:06:30,021201155690,SYSTEM,general,2816,2025/02/28 00:06:30,,general,,0,0,general,medium,""Failed to check IoT content upgrade info due to Unknown error"",7444467286603257823,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T00:06:30.194+08:00","<(?P<priority>\d+)>(?P<timestamp>\w{3}\s+\d{2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-.]+)\s+\d+,(?P<event_time>[\d\/:\s]+),(?P<serial>\d+),(?P<log_type>\w+),(?P<subtype>\w*),\d+,(?P<generated_time>[\d\/:\s]*),,(?P<event_name>[\w\-.]+)?,(?P<event_details>[^,]*),\d+,\d+,(?P<category>\w*),(?P<severity>\w*),\""(?P<message>[^\""]+)\"",(?P<session_id>\d+),(?P<flags>[\d\w,]+),[\d,]+\s*(?P<device_name>[\w\-.]+),\d+,\d+,(?P<iso_timestamp>[\d\-\:T\.]+)(?<timezone>\+\d+:\d+)"
20,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-03-12T07:16:35.251125300Z'/><EventRecordID>8361393</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level><Task>(?P<task>\d+)<\/Task><Opcode>(?P<opcode>\d+)<\/Opcode><Keywords>(?P<keywords>[\d\w]+)<\/Keywords><TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID><Correlation( ActivityID='{(?P<correlation_id>[\w\d\-]+)}')?\/>.*?<Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
21,Mar 17 10:18:39 CLV010VLCBEDR01 systemd[375924]: Closed D-Bus User Message Bus Socket.,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
22,"17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]",(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<loglevel>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
23,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level>.*?<TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID>.*?Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
24,"<14>Feb  1 00:28:59 PA-VM 1,2025/02/01 00:28:59,,SYSTEM,general,2816,2025/02/01 00:28:59,,general,,0,0,general,informational,""Connection to Update server: updates.paloaltonetworks.com completed successfully, initiated by 192.168.10.15"",7409859196046341743,0x0,0,0,0,0,,PA-VM,0,0,2025-02-01T00:28:59.938+08:00","<(?P<priority>\d+)>(?P<timestamp>\w{3}\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-.]+)\s+\d+,(?P<event_time>[\d\/:\s]+),(?P<serial>\d+)?,(?P<log_type>\w+),(?P<subtype>\w*),\d+,(?P<generated_time>[\d\/:\s]*),,(?P<event_name>[\w\-.]+)?,(?P<event_details>[^,]*),\d+,\d+,(?P<category>\w*),(?P<severity>\w*),\""(?P<message>[^\""]+)\"",(?P<session_id>\d+),(?P<flags>[\d\w,A]+),[\d,]+\s*(?P<device_name>[\w\-.]+),\d+,\d+,(?P<iso_timestamp>[\d\-\:T\.]+)(?<timezone>\+\d+:\d+)"
25,Jun 16 07:03:22 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"^(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\w+)?(\((?P<service>[^)]+)\))?(\[(?P<pid>\d+)\])?:\s+(?P<message>.*)"
26,Dec 10 07:08:28 LabSZ sshd[24208]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
27,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-01-31T16:00:00.013931800Z'/><EventRecordID>14067140</EventRecordID><Correlation ActivityID='{3ddf0711-cf56-4c5c-a8f6-2e41b7cb644e}'/><Execution ProcessID='2084' ThreadID='4240'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>CLV040VWKIWI001.stecyberlab.local</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[Config] Failed to read configuration from registry, result 5. Using default values</Data></EventData></Event>",.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level>.*?<TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID>.*?Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
28,2024-05-09 16:24:24.435    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitChannel()                                     ]    [plc_drv.cpp                   ]    [1272]    Channel PORT2_BOARD1 is Online,(?P<timestamp>\S+\s+\S+)\s+(?P<timezone>\S+)\s+\[(?P<log_level>\w+)\]\s+\[(?P<component>\w+)\s+\]\s+\[(?P<thread_id>0x[\da-fA-F]+)\]\s+\[(?P<module>\w+)\s+\]\s+\[\((?P<context>\w*)\)\s+\]\s+\[(?P<function>\w+\(\))\s+\]\s+\[(?P<source_file>[\w\.\w]+)\s+\]\s+\[(?P<line_no>\d+)\]\s+(?P<message>.*)
29,"2015-07-29 17:41:44,747 - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@774] - Notification time out: 3200","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2},\d{3})\s+-\s+(?P<loglevel>[A-Z]+)\s+\[(?P<process>QuorumPeer\[myid=(?P<myid>\d+)\]\/(?P<ipv6>[\d:a-fA-F]+):(?P<class>\w+@\d+))\] - (?P<message>.*)"
30,"2024-05-09 16:24:24.641    +08:00    Licensing::LicenseProtection:ProtInit, licRunMode: 0x23eb",(?P<timestamp>\S+\s+\S+)\s+(?P<timezone>\S+)\s+(?P<message>.*)
31,Feb  5 00:18:29 CLV010VLCBEDR01 systemd[1]: session-13536.scope: Succeeded.,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
32,08 30 2023 16:33:46 192.168.8.171 <SAU1:ERRR> 1 2023-08-30T16:33:46.865334+08:00 IL-LAB-RDF01 IL-LAB-RDF01 - - - LEEF:2.0|radiflow|isid|6.5.11.14|6|Device became inactive|Medium|cat='Device' id=21 dvc=192.168.10.34 SrcName=192.168.10.34 SrcMac=00:24:81:20:54:CD SrcVendor=Hewlett Packard SrcType=Server,.*?<(?P<process>[^:]+):(?P<level>\w+)>\s+\d\s+(?P<iso_timestamp>[\d\-T:+\.]+)\s+(?P<hostname>\S+)\s+\S+[\-\s]+(LEEF:2.0|CEF:0)\|radiflow\|isid\|(?P<version>[^\|]+)\|(?P<vmid>\d+)\|(?P<threatname>[^\|]+)\|(?P<severity>\w+)\|cat='(?P<category>\w+)'\s*id=(?P<id>\d+)\s*dvc=(?P<dvc>\S+)\s*SrcName=(?P<srcname>\S+)\s*SrcMac=(?P<srcmac>\S+)\s*SrcVendor=(?P<srcvendor>.*?)\s*SrcType=(?P<srctype>\S+)
