log_id,log_text,ground_truth_regex
71,Dec 10 07:07:38 LabSZ sshd[24206]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn ,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
72,Mar 28 12:18:39 CLV010VLCBEDR01 systemd[375924]: Reached target Shutdown.,(?P<timestamp>\S+\s+\S+\s+\S+)\s+(?P<hostname>.*)\s+(?P<process>\S+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
73,134681 node-246 unix.hw state_change.unavailable 1077804742 1 Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),(?P<id>\d+)\s(?P<hostname>[\w\-]+)\s(?P<subsystem>[\w\.]+)\s(?P<event>[\w\.]+)\s(?P<timestamp>\d+)\s(?P<flag>\d+)\s(?P<message>.*)\s\(HWID=(?P<hwid>\d+)\)
74,Feb 19 02:32:24 myhost ERROR Event 6512: Process terminated,"(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<level>\w+)\s+(?P<message>.*)$"
75,"192.168.68.98 - - [Mar 17 2025, 10:24:22] ""PUT /login HTTP/1.1"" 200 3214 ""https://www.google.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15""","(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - - \[(?P<timestamp>[A-Za-z]{3} \d{2} \d{4}, \d{2}:\d{2}:\d{2})\] ""(?P<method>\w+) (?P<path>[^""]+) (?P<protocol>[^""]+)"" (?P<status>\d{3}) (?P<size>\d+) ""(?P<referrer>[^""]*)"" ""(?P<user_agent>[^""]*)"""
76,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385F-C22A-43E0-BF4C-06F5698FFBD9}'/><EventID>10</EventID><Version>3</Version><Level>4</Level><Task>10</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2020-10-08T12:52:10.274186300Z'/><EventRecordID>34</EventRecordID><Correlation/><Execution ProcessID='4268' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>win-dc-8537412.attackrange.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='UtcTime'>2020-10-08 12:52:10.259</Data><Data Name='SourceProcessGUID'>{F97E5129-0A10-5F7F-0C00-000000007E01}</Data><Data Name='SourceProcessId'>572</Data><Data Name='SourceThreadId'>1120</Data><Data Name='SourceImage'>C:\Windows\system32\svchost.exe</Data><Data Name='TargetProcessGUID'>{F97E5129-0B7A-5F7F-F402-000000007E01}</Data><Data Name='TargetProcessId'>4268</Data><Data Name='TargetImage'>C:\Windows\sysmon64.exe</Data><Data Name='GrantedAccess'>0x1400</Data><Data Name='CallTrace'>C:\Windows\SYSTEM32\ntdll.dll+a5ec4|C:\Windows\System32\KERNELBASE.dll+5eab4|c:\windows\system32\lsm.dll+e9d6|c:\windows\system32\lsm.dll+d3ae|C:\Windows\System32\RPCRT4.dll+78343|C:\Windows\System32\RPCRT4.dll+dbc0d|C:\Windows\System32\RPCRT4.dll+b3dc|C:\Windows\System32\RPCRT4.dll+59dc4|C:\Windows\System32\RPCRT4.dll+58cdd|C:\Windows\System32\RPCRT4.dll+5958b|C:\Windows\System32\RPCRT4.dll+3942c|C:\Windows\System32\RPCRT4.dll+398ac|C:\Windows\System32\RPCRT4.dll+53e9c|C:\Windows\System32\RPCRT4.dll+556fb|C:\Windows\System32\RPCRT4.dll+481da|C:\Windows\SYSTEM32\ntdll.dll+286be|C:\Windows\SYSTEM32\ntdll.dll+2a029|C:\Windows\System32\KERNEL32.DLL+84d4|C:\Windows\SYSTEM32\ntdll.dll+6e871</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level>.*?<TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID>.*?Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
77,Feb 27 00:18:01 CLV010VLCBEDR01 systemd[375924]: Reached target Timers.,(?P<timestamp>\s+\s+\s+\s+\s+)\s+(?P<hostname>.*)\s+(?P<process>\s+)\[(?P<pid>\d+)\]:\s+(?P<message>.*)
78,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","(?P<timestamp>\d{4}-\d{1,2}-\d{1,2}\s+\d{2}:\d{2}:\d{2},\d+)\s(?P<severity>[A-Z]+)\s\[(?P<thread>.*?)\]\s(?P<class>[\w\.]+):\s(?P<message>.*)"
79,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level>.*?<TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID>.*?Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
80,Dec 10 06:55:46 LabSZ sshd[24200]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
81,03/10/2025 01:25:27.876 WatsonReport: Registering setup log files with watson,(?P<timestamp>\d+\/\d+\/\d+\s+[\d:\.]+)\s+(?P<source>[\w\s]+):\s+(?P<message>.*?)$
82,2024-05-09 16:24:24.569    +08:00    Alarm: Client loaded _Categor RDB; time 2024-05-03 15:41:01.,(?P<timestamp>\S+\s+\S+)\s+(?P<timezone>\S+)\s+(?P<message>.*)
83,Jul 23 11:46:41 combo sshd(pam_unix)[15385]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.44.47.166 user=root,"(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\w+)(?:\((?P<service>[^)]+)\))?\[(?P<pid>\d+)\]:\s+(?P<message>.*)$"
84,"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",(?P<timestamp>\d{2}\/\d{2}\/\d{2} \d{2}:\d{2}:\d{2})\s+(?P<loglevel>[A-Z]+)\s+(?P<module>[\w\.]+):\s+(?P<message>.*)
85,[10.30 17:11:12] WeChat.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<action>[a-zA-Z]+) through proxy (?P<proxy2>[\w\.\-]+:\d+)\s+(?P<protocol>\w+)$
86,081109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
87,081109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
88,2025-02-06T05:15:06.534Z server52 UserService [DEBUG]: Operation completed for user 258,(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z) (?P<hostname>\S+) (?P<service>\S+) \[(?P<level>[A-Z]+)\]: (?P<message>.*)
89,"<8>1 2025-07-23T06:44:37.453210Z dragos dragos_syslog - - - {""system"": ""Dragos Platform"", ""createdAt"": ""2025-07-23T06:44:37Z"", ""summary"": ""Distributed Component Object Model (DCOM) used to execute commands on a remote Windows system"", ""severity"": ""5"", ""content"": ""Asset 28 (192.168.23.11) executed DCOMExec script to Asset 14 (172.18.1.42). The script carried out the following action SMB::FILE_OPEN as a result of the execution. The execution of DCOMExec script could indicate possible usage of the Impacket framework that provides the capability to use the script in order to execute commands on a remote Windows system via Distributed Component Object Model (DCOM). The output of the python script is the following file __1753252778.7019103"", ""asset_ip"": """", ""asset_hostname"": """", ""dst_asset_ip"": ""172.18.1.42"", ""dst_asset_hostname"": ""pdsrdstm"", ""dst_asset_mac"": ""00:50:56:27:2A:37"", ""dst_asset_domain"": """", ""src_asset_ip"": ""192.168.23.11"", ""src_asset_hostname"": """", ""src_asset_mac"": """", ""src_asset_domain"": """", ""id"": ""6528"", ""asset_domain"": """", ""asset_id"": """", ""asset_mac"": """", ""detection_quad"": ""Indicator"", ""detectorId"": ""8cc94891-899e-4e1e-a24e-60e5c42019cf"", ""dst_asset_id"": ""14"", ""matchedRuleId"": ""4"", ""occurredAt"": ""2025-07-23T06:40:20Z"", ""originalSeverity"": ""1"", ""reviewed"": ""False"", ""src_asset_id"": ""28"", ""type"": ""Communication""}",
90,"204.213.233.216 - - [Mar 15 2025, 08:35:21] ""GET /search HTTP/1.1"" 400 2717 ""https://www.google.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15""","(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - - \[(?P<timestamp>[A-Za-z]{3} \d{2} \d{4}, \d{2}:\d{2}:\d{2})\] ""(?P<method>\w+) (?P<path>[^""]+) (?P<protocol>[^""]+)"" (?P<status>\d{3}) (?P<size>\d+) ""(?P<referrer>[^""]*)"" ""(?P<user_agent>[^""]*)"""
91,<10>Jul 23 14:40:45 10.10.1.10 CEF:0|Tenable|Tenable OT Security|3.18.58|109|Unauthorized Conversation|9|externalId=10025 cs6Label=policy_name cs6= SMB communication from  DMZ server Detected cf1Label=cluster_log_id cf1=10024 duser=920-WINSRV01-A dpt=445 dst=10.92.0.10 suser=920-TERMSRV01 src=10.20.100.20 proto=TCP cat=NetworkEvents,
92,"37.161.15.125 - - [Mar 18 2025, 11:08:58] ""PUT /api/users HTTP/1.1"" 200 2005 ""https://www.example.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15""","(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - - \[(?P<timestamp>[A-Za-z]{3} \d{2} \d{4}, \d{2}:\d{2}:\d{2})\] ""(?P<method>\w+) (?P<path>[^""]+) (?P<protocol>[^""]+)"" (?P<status>\d{3}) (?P<size>\d+) ""(?P<referrer>[^""]*)"" ""(?P<user_agent>[^""]*)"""
93,Aug 15 00:04:21 combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"(?P<timestamp>\w+\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\w+)?(\((?P<service>[^)]+)\))?(\[(?P<pid>\d+)\])?:\s+(?P<message>.*)"
94,081109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
95,081109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,(?P<timestamp>\d+\s+\d+)\s+(?P<pid>\d+)\s+(?P<log_level>\w+)\s+(?P<module>[\w.$]+):\s+(?P<message>.*)$
96,"[09.30 17:12:14] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 35850 bytes (35.0 KB) sent, 13903 bytes (13.5 KB) received, lifetime 04:12","(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<action>[a-zA-Z]+),\s+(?P<sent_bytes>\d+)\s+bytes\s+(\(.*\)\s+)?sent,\s+(?P<received_bytes>\d+)\s+bytes\s+(\(.*\)\s+)?received,\s+lifetime\s+(?P<lifetime>.*)$"
97,"[10.20 17:11:08] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 1432 bytes (1.39 KB) sent, 44376 bytes (43.3 KB) received, lifetime 00:31","(?P<timestamp>\[\d{2}\.\d{2} \d{2}:\d{2}:\d{2}\])\s+(?P<application>[\w\.]+)\s+-\s+(?P<proxy>[\w\.\-]+:\d+)\s+(?P<action>[a-zA-Z]+),\s+(?P<sent_bytes>\d+)\s+bytes\s+(\(.*\)\s+)?sent,\s+(?P<received_bytes>\d+)\s+bytes\s+(\(.*\)\s+)?received,\s+lifetime\s+(?P<lifetime>.*)$"
98,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-26T05:59:00.054350300Z'/><EventRecordID>6989899</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='5148'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[SDP Base]  SRUM calling FreeMemory for provider data type 3 into provider CPU Provider.</Data></EventData></Event>,.*?<System><Provider Name='(?P<provider>[^']+)' Guid='(?P<guid>[^']+)'\/><EventID>(?P<event_id>\d+)<\/EventID>.*?<Level>(?P<level>\d+)<\/Level><Task>(?P<task>\d+)<\/Task><Opcode>(?P<opcode>\d+)<\/Opcode><Keywords>(?P<keywords>[\d\w]+)<\/Keywords><TimeCreated SystemTime='(?P<timestamp>[^']+)'\/>.*?<EventRecordID>(?P<event_record_id>\d+)<\/EventRecordID><Correlation( ActivityID='{(?P<correlation_id>[\w\d\-]+)}')?\/>.*?<Execution ProcessID='(?P<process_id>\d+)' ThreadID='(?P<thread_id>\d+)'\/>.*?<Channel>(?P<channel>[^<]+)<\/Channel>.*?<Computer>(?P<computer>[^<]+)<\/Computer>.*?(<Security UserID='(?P<user_id>[^']+)'\/>).*<EventData>(?P<event>.*)<\/EventData><\/Event>
99,"2015-10-18 18:01:53,838 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","(?P<date>\d{4}-\d{2}-\d{2})\s(?P<time>\d{2}:\d{2}:\d{2},\d+)\s(?P<severity>[A-Z]+)\s\[(?P<thread>.*?)\]\s(?P<class>[\w\.]+):\s(?P<message>.*)"
100,"_from_ip=""10.20.80.208"" _to_ip=""96.45.45.45"" bpf_filter=""ip host 10.20.80.208 and ip host 96.45.45.45 and udp port 61952 and udp port 53"" direction_is_known=true first_activity_time=""1753253399923"" from=""10.20.80.208"" from_port=""61952"" from_zone=""10.20.80.0/24"" id=""810.20.80.20896.45.45.45f20035198360bcd73"" is_broadcast=false is_from_public=false is_to_public=true key=""96.45.45.45;53;10.20.80.208;61952;udp;8"" last_activity_time=""1753253399966"" protocol=""dns"" status=""CLOSED"" throughput_speed=0 to=""96.45.45.45"" to_port=""53"" to_zone=""Internet"" transferred.avg_packet_bytes=234.5 transferred.biggest_packet_bytes=""386"" transferred.bytes=""469"" transferred.last_15m_bytes=""0"" transferred.last_30m_bytes=""469"" transferred.last_5m_bytes=""0"" transferred.packets=""2"" transferred.smallest_packet_bytes=""83"" transport_protocol=""udp"" vlan_id=null","\_from_ip=""(?<_from_ip>.*?)""\s+\_to_ip=""(?<_to_ip>.*?)""\s+bpf_filter=""(?<bpf_filter>.*?)""\s+direction_is_known=(?<direction_is_known>.*?)\s+first_activity_time=""(?<first_activity_time>.*?)""\s+from=""(?<from>.*?)""\s+from_port=""(?<from_port>.*?)""\s+from_zone=""(?<from_zone>.*?)""\s+id=""(?<id>.*?)""\s+is_broadcast=(?<is_broadcast>.*?)\s+is_from_public=(?<is_from_public>.*?)\s+is_to_public=(?<is_to_public>.*?)\s+key=""(?<key>.*?)""\s+last_activity_time=""(?<last_activity_time>.*?)""\s+protocol=""(?<protocol>.*?)""\s+status=""(?<status>.*?)""\s+throughput_speed=(?<throughput_speed>.*?)\s+to=""(?<to>.*?)""\s+to_port=""(?<to_port>.*?)""\s+to_zone=""(?<to_zone>.*?)""\s+transferred\.avg_packet_bytes=(?<transferred_avg_packet_bytes>.*?)\s+transferred\.biggest_packet_bytes=""(?<transferred_biggest_packet_bytes>.*?)""\s+transferred\.bytes=""(?<transferred_bytes>.*?)""\s+transferred\.last_15m_bytes=""(?<transferred_last_15m_bytes>.*?)""\s+transferred\.last_30m_bytes=""(?<transferred_last_30m_bytes>.*?)""\s+transferred\.last_5m_bytes=""(?<transferred_last_5m_bytes>.*?)""\s+transferred\.packets=""(?<transferred_packets>.*?)""\s+transferred\.smallest_packet_bytes=""(?<transferred_smallest_packet_bytes>.*?)""\s+transport_protocol=""(?<transport_protocol>.*?)""\s+vlan_id=(?<vlan_id>.*?)"
