"log_id","log_text","generated_regex"
"34","Dec 10 07:07:45 LabSZ sshd[24206]: Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+Failed\s+password\s+for\s+(?<username>\S+)\s+from\s+(?<ip>\d+\.\d+\.\d+\.\d+)\s+port\s+(?<port>\d+)\s+(?<protocol>\S+)"
"35","- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond(pam_unix)[2915]: session closed for user root","(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<hostname>\S+)\s+(?<month>\w{3})\s+(?<day>\d{1,2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<host>\S+)\/(?<service>\S+)\s+(?<process>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]\:\s+session\s+closed\s+for\s+user\s+(?<username>\S+)"
"36","Jan 27 12:38:01 CLV010VLCBEDR01 CROND[375934]: (cb) CMD (/usr/share/cb/virtualenv/bin/python -m cb.maintenance.job_runner --max-startup-delay 1 -s alliance_community_participation /etc/cb/cb.conf --ticevents >> /var/log/cb/job-runner/startup.out 2>&1)","Jan\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+\((?<user>\S+)\)\s+CMD\s+\((?<command>\/.*?\/.*?)\s+--max-startup-delay\s+(?<max_startup_delay>\d+)\s+-s\s+(?<service>\S+)\s+(?<config_file>\/.*?\/.*?)\s+--ticevents\s+>>\s+(?<output_file>\/.*?\/.*?)\s+2>&1\)"
"37","17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started","`(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<logger_name>[^:]+):\s+(?<message>.*)`"
"38","[10.30 17:11:17] WeChat.exe - proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 353 bytes received, lifetime <1 sec","\[([\d\.]+)\s+(\d{2}:\d{2}:\d{2})\]\s+(WeChat\.exe)\s+-\s+([\w\.]+):\d+\s+(close),\s+(\d+)\s+bytes\s+sent,\s+(\d+)\s+bytes\s+received,\s+lifetime\s+<(\d+)\s+sec"
"39","2024-05-09 16:24:24.435    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitDrivers()                                     ]    [drv_init.cpp                  ]    [2005]      MaxPending=255 Block=255 Retry=0 Delay=0 Timeout=3000 PollTime=1000 WatchTime=15000","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{4})\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source_module>[^\]]+)\]\s+\[(?P<thread_id>0x[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+MaxPending=(?P<max_pending>\d+)\s+Block=(?P<block>\d+)\s+Retry=(?P<retry>\d+)\s+Delay=(?P<delay>\d+)\s+Timeout=(?P<timeout>\d+)\s+PollTime=(?P<poll_time>\d+)\s+WatchTime=(?P<watch_time>\d+)"
"40","217.50.57.73 - - [Mar 13 2025, 10:41:29] ""DELETE /blog?sort=price_desc&page=2 HTTP/1.1"" 500 1126 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s-\s\[(?P<date>[A-Za-z]{3}\s\d{2}\s\d{4},\s\d{2}:\d{2}:\d{2})\]\s""(?P<method>DELETE)\s(?P<uri>/blog\?sort=price_desc&page=2)\sHTTP\/1\.1""\s(?P<status_code>500)\s(?P<body_bytes_sent>1126)\s""(?P<http_referer>-)""\s""(?P<http_user_agent>Mozilla\/5\.0\s\(Windows\sNT\s10\.0;\sWin64;\sx64\)\sAppleWebKit\/537\.36\s\(KHTML,\slike\sGecko\)\sChrome\/91\.0\.4472\.124\sSafari\/537\.36)"""
"41","2025-03-07T20:22:19.897Z server52 AuthController [ERROR]: Operation failed for user 166","(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?P<host>server\d+)\s+(?P<class>AuthController)\s+\[(?P<severity>[^\]]+)\]\:\s+Operation\s+failed\s+for\s+user\s+(?P<user_id>\d+)"
"42","<11>Feb 28 02:48:52 CYberlab-ENT-PA-440 1,2025/02/28 02:48:52,021201155690,SYSTEM,syslog,2816,2025/02/28 02:48:52,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7444467286603257908,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T02:48:52.970+08:00","<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}):(\d{2}):(\d{2})\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),([^,]+),([^,]+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,([^,]+),,,(\d+),(\d+),([^,]+),([^,]+),""(.+?)"",(\d+),0x([0-9a-fA-F]+),(\d+),(\d+),(\d+),(\d+),,,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
"43","2024-05-09 16:24:24.507    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitUnit()                                        ]    [plc_drv.cpp                   ]    [1063]    Unit 'Kepware.KEPServerEX.V6' Port PORT2_BOARD1 is Online","(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2}\.\d{3})\s+\+\d{4}\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source>[^\]]+)\]\s+\[(?P<thread_id>[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+(?P<message>.+)"
"44","2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl: task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED","(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<loglevel>\w+)\s+\[(?<thread>[^\]]+)\]\s+(?<logger>[^:]+):\s+(?<taskid>[^ ]+)\s+(?<message>.+)"
"45","17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi","(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>\w+)\s+(?P<source>[\w\.]+):\s+(?P<message>.+?)"
"46","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"47","Jun 01 01:01:09 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root","(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>\S*)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>\S*)\s+rhost=(?P<rhost>[^ ]+)\s+user=(?P<user>\S+)"
"48","081109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864","(?<timestamp>\d{6})\s+(?<time>\d{6})\s+(?<pid>\d+)\s+(?<level>[A-Z]+)\s+(?<class>[^:]+):\s+(?<method>[^:]+):\s+(?<message>.+?)"
"49","Feb 27 00:18:01 CLV010VLCBEDR01 systemd[375924]: pam_unix(systemd-user:session): session opened for user cb by (uid=0)","(?P<month>\S+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<service>\S+)\((?P<service_type>\S+)\)\:(?P<action>\S+)\s+for\s+user\s+(?P<username>\S+)\s+by\s+\((?P<by_uid>uid=\d+)\)"
"50","Sep 05 14:26:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0)","Sep\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(.*?)\s+\((.*?)\)\[(.*?)\]:\s+session\s+opened\s+for\s+user\s+(.*?)\s+by\s+\((.*?)\)"
"51","2024-05-09 16:24:24.286    +08:00    Protection: Using provider DLL C:\Program Files (x86)\AVEVA\Citect SCADA 2018 R2\Bin\SentinelProvider.dll","(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2}\.\d{3})\s+\+\d{4}\s+(?P<protection>Protection):\s+(?P<action>Using\sprovider\sDLL)\s+(?P<dll_path>C:\\.*?\\.dll)"
"52","Sep 10 13:23:39 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root","Sep\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<service>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]\:\s+authentication\sfailure\;\s+logname=(?<logname>\S*)\s+uid=(?<uid>\d+)\s+euid=(?<euid>\d+)\s+tty=(?<tty>\S+)\s+ruser=(?<ruser>\S*)\s+rhost=(?<rhost>[^\s]+)\s+user=(?<user>\S+)"
"53","2024-05-03 15:44:43.726 +08:00 TranWrite(3, 140): Name=Cluster1Alarm, State != TRAN_STATE_ONLINE, state=5","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<function>TranWrite)\((?P<param1>\d+),\s*(?P<param2>\d+)\):\s*Name=(?P<name>[^,]+),\s*State\s*!=\s*(?P<state_name>[^,]+),\s*state=(?P<state_number>\d+)"
"54","<14>Feb 28 01:10:41 CYberlab-ENT-PA-440 1,2025/02/28 01:10:40,021201155690,SYSTEM,vpn,2816,2025/02/28 01:10:40,,ike-send-p2-delete,vyos-pa-tunnel,0,0,general,informational,""IKE protocol IPSec SA delete message sent to peer. SPI:0x927678BB."",7444467286603257863,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T01:10:41.001+08:00","<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}:\d{2}:\d{2})\s+([\w\-]+)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(\w+),(\w+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,([\w\-]+),([\w\-]+),(\d+),(\d+),(\w+),(\w+),""([^""]*)"",(\d+),(\w+),(\w+),(\w+),(\w+),(\w+),([\w\-]+),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
"55","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"56","2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack","(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?P<log_level>[A-Z]+)\s+\[(?P<thread_name>.*?)\]\s+(?P<class_name>.*?):\s+(?P<message>.*?)"
"57","[10.30 17:11:43] SogouCloud.exe - get.sogou.com:80 close, 859 bytes sent, 316 bytes received, lifetime <1 sec","\[\s*(?<timestamp>\d{1,3}\.\d{1,2}\s+\d{1,2}:\d{2}:\d{2})\s*\]\s*(?<process>[^-\s]+\.exe)\s+-\s+(?<destination>[^\s:]+:\d+)\s+(?<action>close),\s+(?<bytes_sent>\d+)\s+bytes\s+sent,\s+(?<bytes_received>\d+)\s+bytes\s+received,\s+lifetime\s+<(?<lifetime>\d+)\s+sec\)"
"58","Jul  1 09:00:56 authorMacBook-Pro cdpd[11807]: Saw change in network reachability (isReachable=0)","\s*(?<month>Jul)\s+(?<day>1)\s+(?<time>09:00:56)\s+(?<hostname>authorMacBook-Pro)\s+(?<process>cdpd)\[(?<pid>11807)\]:\s+Saw\s+change\s+in\s+network\s+reachability\s+\(isReachable=(?<isReachable>0)\)"
"59","17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi","(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class>[^:]+):\s+(?<message>.+?)"
"60","2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack","(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>\w+)\s+\[(?<thread_name>.*?)\]\s+(?<class_name>.*?):\s+(?<message>.*?)"
"61","Feb 12 11:18:39 CLV010VLCBEDR01 systemd[1]: Stopping User Manager for UID 992","(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<message>.+?)"
"62","081109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating","(?P<month>\d{2})(?P<day>\d{2})(?P<hour>\d{2})(?P<minute>\d{2})(?P<second>\d{2})\s+(?P<level>[A-Z]+)\s+(?P<class>[^:]+):\s+(?P<message>.+)"
"63","Dec 10 07:07:45 LabSZ sshd[24206]: Received disconnect from 52.80.34.196: 11: Bye Bye [preauth]","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+Received\s+disconnect\s+from\s+(?<ip>\d+\.\d+\.\d+\.\d+):\s+(?<code>\d+):\s+(?<message>.*?)(?:\s+\[(?<state>\w+)\])?"
"64","<11>Feb 28 00:03:52 CYberlab-ENT-PA-440 1,2025/02/28 00:03:52,021201155690,SYSTEM,syslog,2816,2025/02/28 00:03:52,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7444467286603257821,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T00:03:52.858+08:00","<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}:\d{2}:\d{2})\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(.*?),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),,(.*?),(\d+),(\d+),(\w+),(\w+),""(.+?)"",(\d+),0x(\d+),(\d+),(\d+),(\d+),(\d+),,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
"65","2015-07-29 19:22:46,680 - WARN  [SendWorker:188978561024:QuorumCnxManager$SendWorker@679] - Interrupted while waiting for message on queue","(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s-\s(?<severity>[A-Z]+)\s\[(?<thread_name>[^:]+):(?<thread_id>\d+):(?<class_name>[^\]]+)\]\s-\s(?<message>.+)"
"66","nova-api.log.1.2017-05-16_13:53:08 2017-05-16 00:00:00.008 25746 INFO nova.osapi_compute.wsgi.server [req-38101a0b-2096-447d-96ea-a692162415ae 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829","nova-api\.log\.1\.\d{4}-\d{2}-\d{2}_\d{2}:\d{2}:\d{2}\s+\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+(?<pid>\d+)\s+(?<log_level>\w+)\s+(?<module>[^\s]+)\s+\[(?<request_id>req-\w+-\w+-\w+-\w+-\w+)\s+(?<user_id>\w+-\w+-\w+-\w+-\w+)\s+(?<project_id>\w+-\w+-\w+-\w+-\w+)\s+(?<domain_id>\S+)\s+(?<user_domain_id>\S+)\s+(?<project_domain_id>\S+)\]\s+(?<ip>\d+\.\d+\.\d+\.\d+)\s+""(?<http_method>\w+)\s+(?<url>[^""]+)\s+HTTP/\d\.\d""\s+status:\s+(?<status>\d+)\s+len:\s+(?<length>\d+)\s+time:\s+(?<time>\d+\.\d+)"
"67","17/06/09 20:10:41 INFO Remoting: Starting remoting","`(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<source>[\w:]+)\s+(?P<message>.+?)`"
"68","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"69","081109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating","(?P<timestamp>\d{6})\s+(?P<time>\d{6})\s+(?P<pid>\d+)\s+(?P<level>[A-Z]+)\s+(?P<class>[^:]+):\s+(?P<message>.+)"
"70","[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties","\[(?P<timestamp>Sun\sDec\s04\s04:51:14\s2005)\]\s+\[(?P<severity>notice)\]\s+(?P<message>workerEnv\.init\(\)\s+ok)\s+(?P<path>/etc\/httpd\/conf\/workers2\.properties)"
"71","Dec 10 07:07:38 LabSZ sshd[24206]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn ","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+sshd\[(?<pid>\d+)\]:\s+pam_unix\(sshd:(?<service>\w+)\):\s+authentication\s+failure;\s+logname=(?<logname>\S*)\s+uid=(?<uid>\d+)\s+euid=(?<euid>\d+)\s+tty=(?<tty>\S+)\s+ruser=(?<ruser>\S*)\s+rhost=(?<rhost>[^\\s]+)"
"72","Mar 28 12:18:39 CLV010VLCBEDR01 systemd[375924]: Reached target Shutdown.","Mar\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+(?<message>.+?)"
"73","134681 node-246 unix.hw state_change.unavailable 1077804742 1 Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)","(?P<log_id>\d+)\s+(?P<node>[\w-]+)\s+(?P<source>[\w.]+)\s+(?P<event>[\w.]+)\s+(?P<timestamp>\d+)\s+(?P<component_id>\d+)\s+Component\s+State\s+Change:\s+Component\s+\x22(?P<component_name>[^\\x22]+)\x22\s+is\s+in\s+the\s+(?P<state>[\w-]+)\s+state\s+\(HWID=(?P<hwid>\d+)\)"
